question,option1,option2,option3,option4,answer
無人機的電子調速器型號是30 A，其代表的意義為下列何者?,代表飛控最大允許通過電流大小為30 A。,代表電池最大允許通過電流大小為30 A。,代表接收機最大允許通過電流大小為30 A。,代表電子調速器最大允許通過電流大小為30 A。,3
PWM（pulse-width modulation，脈波寬度調變）是下列何者?,PWM是將數位訊號轉換為脈波的一種技術。,PWM是將脈波訊號轉換為類比的一種技術。,PWM是將類比訊號轉換為脈波的一種技術。,PWM是將脈波訊號轉換為數位的一種技術。,2
電子調速器損壞後可用下列何者代替?,用更大的或更小的電子調速器代替都可以。,只能用更小的電子調速器代替。,只能用更大的電子調速器代替。,以上皆是。,2
無人多旋翼機如何達到平穩飛行的目的?,將所有螺旋槳旋轉方向設定相同，依據牛頓第3定律，螺旋槳所產生的反作用力互相抵銷，達到平穩飛行的目的。,將相鄰的螺旋槳旋轉方向設定相反，依據牛頓第3定律，螺旋槳所產生的逆時針反作用力與順時針反作用力互相抵銷，達到平穩飛行的目的。,將所螺旋槳旋轉方向設定相同，依據牛頓第1定律，螺旋槳所產生的反作用力互相抵銷，達到平穩飛行的目的。,將所螺旋槳旋轉方向設定相同，依據牛頓第2定律，螺旋槳所產生的反作用力互相抵銷，達到平穩飛行的目的。,1
無人多旋翼機如何實現各種動作?,依據牛頓第3定律，以電子調速器調配各個螺旋槳的轉速來實現各種動作。,依據牛頓第2定律，以電子調速器調配各個螺旋槳的轉速來實現各種動作。,依據牛頓第1定律，以電子調速器調配各個螺旋槳的轉速來實現各種動作。,以上皆是。,0
若某六軸無人機使用30 A電子調速器，選擇下列何種規格電池合適?,最大放電電流需小於6*30 = 180 A。,最大放電電流需大於6*30 = 180 A。,最大放電電流需小於6*√30 = 33 A。,最大放電電流需大於6*√30 = 33 A。,0
四軸無人機如何前後飛行?（依序將螺旋槳編號為#1、#2、#3、#4，#1、#3順時針旋轉，#2、#4逆時針旋轉）,將螺旋槳#2、#3加速，同時將#1、#4減速，無人機向前飛行；反之則向後飛行。,將螺旋槳#3、#4加速，同時將#1、#2減速，無人機向前飛行；反之則向後飛行。,將螺旋槳#1、#3加速，同時將#2、#4減速，無人機向前飛行；反之則向後飛行。,將所有螺旋槳同時加速，無人機向前飛行；反之則向後飛行。,1
四軸無人機如何側向飛行?（依序將螺旋槳編號為#1、#2、#3、#4，#1、#3順時針旋轉，#2、#4逆時針旋轉）,將螺旋槳#2、#3加速，同時將#1、#4減速，無人機向左飛行；反之則向右飛行。,將螺旋槳#3、#4加速，同時將#1、#2減速，無人機向左飛行；反之則向右飛行。,將螺旋槳#1、#3加速，同時將#2、#4減速，無人機向左飛行；反之則向右飛行。,將所有螺旋槳同時加速，無人機向左飛行；反之則向右飛行。,0
四軸無人機如何原地轉向?（依序將螺旋槳編號為#1、#2、#3、#4，#1、#3順時針旋轉，#2、#4逆時針旋轉）,將螺旋槳#2、#3加速，同時將#1、#4減速，無人機原地逆時針轉向；反之則原地順時針轉向。,將螺旋槳#3、#4加速，同時將#1、#2減速，無人機原地逆時針轉向；反之則原地順時針轉向。,將螺旋槳#1、#3加速，同時將#2、#4減速，無人機原地逆時針轉向；反之則原地順時針轉向。,將所有螺旋槳同時加速，無人機原地逆時針轉向；反之則原地順時針轉向。,2
四軸無人機如何垂直升降?（依序將螺旋槳編號為#1、#2、#3、#4，#1、#3順時針旋轉，#2、#4逆時針旋轉）,將螺旋槳#2、#3加速，同時將#1、#4減速，無人機垂直上升；反之則垂直下降。,將螺旋槳#3、#4加速，同時將#1、#2減速，無人機垂直上升；反之則垂直下降。,將螺旋槳#1、#3加速，同時將#2、#4減速，無人機垂直上升；反之則垂直下降。,將所有螺旋槳同時加速，無人機垂直上升；反之則垂直下降。,3
四軸無人機在空中有幾個自由度?,3個自由度。,6個自由度。,4個自由度。,5個自由度。,1
四軸無人機在空中有下列哪幾種自由度?,上下、前後。,左右，滾轉。,俯仰、偏航。,以上皆是。,3
無人機以下列何種方式飛行最省電?,極速飛行。,變速飛行。,勻速飛行。,以上皆是。,2
直昇機揮舞運動的定義為何?,槳葉扭轉運動（torsion）。,槳葉上下撲動（flapping）。,槳葉前後擺動動（lead & flag）。,槳葉伸縮運動（tension & compression）。,1
直昇機擺振運動的定義為何?,槳葉扭轉運動（torsion）。,槳葉上下撲動（flapping）。,槳葉前後擺動（lead & flag）。,槳葉伸縮運動（tension & compression）。,2
下列哪些為遙控無人機系統於飛行前應做之必要檢查?,地面導控站、遙控器、無人機飛行前檢查及周邊環境及天氣等。,空域管制、組員資源管理及風險管理等。,任務規畫、機場協調及日出日落時間等。,以上皆是。,0
下列何者不是無人機飛行前地面導控站檢查項目?,GPS衛星數、地面導控站電量。,數傳信號。,告警訊息（羅盤、加速規等）。,遙控動作與無人機匹配性。,3
下列何者不是無人機飛行前遙控器檢查項目?,遙控器電量。,GPS衛星數。,搖桿微調位置合適性(如適用)。,遙控動作與無人機匹配性。,1
下列何者不是無人機飛行前無人機機身（含電池）檢查項目?,微調位置合適性。,螺旋槳和機架完整。,螺絲鎖接緊密、起落架功能正常。,電池電量充足。,0
下列何者不是電池使用檢查項目?,合適的電池容量、合適的s數。,安全的電池安裝。,數傳信號。,穩固的連結至系統。,2
下列何者不是無人機飛行前周邊環境檢查項目?,風速與風向、障礙物。,距離、地磁與其他干擾。,避開人口聚集區域。,螺旋槳和機架完整。,3
無人多旋翼機一般由下列哪些部件組成?,機架、中心板、馬達。,電子調速器、槳葉、飛控。,腳架、電池、遙控器。,以上皆是。,3
下列何種感測器不是用來測量無人機方位、高度和速度?,GPS、羅盤。,氣壓計。,溫度計。,3軸陀螺儀/3軸加速規。,2
下列何者不是用來描述無人機的特性?,軸距、重量、抗風能力。,塗裝與價格。,巡航速度與最大速度、升限。,單人操作還是多人協同操作。,1
最大起飛重量10公斤的無人多旋翼機約可載重幾公斤?,2.5公斤。,2公斤。,1.5公斤。,1公斤。,0
GPS天線為何需要天線支架?,增加美觀。,避開人口聚集區域。,防止電磁干擾。,減低風速與風向的影響。,2
IMU（inertial measurement unit，慣性量測單元）是用3個軸向的陀螺儀及加速規，來量測無人機的下列何者?,3個軸向的高度及位置。,3個軸向的姿態角及加速度。,3個軸向的姿態角及速度。,3個軸向的高度及加速度。,1
陀螺儀（gyroscope）主要由一個位於軸心的轉子構成，依據角動量守恆原理，轉子旋轉時產生的角動量有抗拒方位改變的特性，用此特性來感測和維持下列何者?,方位及角速度。,高度及角速度。,方位及高度。,以上皆是。,0
加速規（accelerometer）又稱加速度計，利用壓電效應、壓阻效應、或電容式感應等作用原理，來測量下列何者?,高度。,位置。,速度。,加速度。,3
無人飛機在視距外發生「發電機失效(動力系統正常)」，緊急處置程序之一為下列何者?,切入返航模式。,立即關閉航機所有電力驅動之酬載裝置。,立即關閉航機除第一人稱影像外之非必要酬載設備。,開啟自動避障系統。,2
無人飛機在視距外發生「發電機失效(動力系統正常)」時，關閉非必要酬載設備之目的下列何者為非?,減緩蓄電池之電力消耗。,將電力留存供伺服舵機使用。,緩解發電機之振動影響航機穩定操作。,將電力留存供飛控電腦等必要裝備使用。,2
無人飛機在視距外發生「引擎或動力失效」，緊急處置程序之一為下列何者?,切入自動駕駛模式。,分析無人機現有高度與飄降距離。,檢查確認地面導控站硬體接線。,開啟慣性導航系統。,1
無人飛機在視距外發生「引擎或動力失效」，若高度不足以飄降回本場，則參考下列何者將無人機飛至安全區域迫降?,姿態儀及酬載影像。,壓力高度。,風速風向。,雲幕高及能見度。,0
無人飛機在視距外發生「引擎或動力失效」，若操作人分析當下高度不足以飄降回本場，下列處置程序何者為非?,參考姿態儀。,參考酬載影像。,帶桿增加航機攻角。,儘速以飄降方式將航機飛至安全區域實施異地迫降。,2
最佳飄降速度定義為下列何者?,無風環境下，無動力之定翼機下降單位高度可定向飛行最大距離之空速。,背風時一定的高度減少下，無動力之定翼機可定向飛行最大距離的速度。,迎風時一定的高度減少下，無動力之定翼機可定向飛行最大距離之速度。,無風環境下，無動力之定翼機下降單位高度可定向飛行最大距離之地速。,0
無人飛機在視距內發生「引擎或動力失效」，緊急處置程序之一為下列何者?,儘速以返航模式落地。,檢查確認地面導控站硬體接線。,開啟自動避障系統。,切換至適當之操作模式，及時依現場風向風速妥適調整航向及各操縱面以保持空速及姿態。,3
無人飛機在視距內發生「引擎或動力失效」，緊急處置程序之一為下列何者為非?,立即切入適當之操作模式。,依現場風向風速妥適調整航向以保持空速及姿態。,依現場風向風速妥適調整各操縱面以保持空速及姿態。,依現場風向風速妥適調整航向及各操縱面以保持航機高度。,3
無人直昇機與多旋翼機在視距外發生「引擎或動力失效」，緊急處置程序之一為下列何者?,立即切入自動駕駛模式。,若航機尚存部份動力，應儘速穩定姿態並減緩下降率，以第一人稱方式尋找安全地點實施異地迫降。,若尚存部份控制能力，應儘速大角度迴轉，拉高高度後以穩定姿態返場降落。,檢查確認地面導控站GPS訊號品質。,1
無人直昇機與多旋翼機在視距外發生「動力系統失效」之緊急處置程序為下列何者?,開啟自動避障功能。,若不足以返場降落，應避開人、車、物，循備降場或安全平坦處作預防性飄降。,應立即記錄最終定位座標，儘速前往可能之墜落地點查看，視需要通報相關單位處理。,切入返航模式。,2
無人飛機在視距外發生「上傳鏈路失效」，緊急處置程序之一為下列何者?,關閉無人飛機上不必要之電力裝置。,開啟自動避障系統。,飄降回本場。,無人飛機自動或人為切入返航模式。,3
無人機操作模式之「返航模式」（return to home）指的是下列何者?,飛向預先設定之歸航點，並於歸航點自動降落或盤旋/停懸至切出返航模式或油量/電量耗盡。,在切入返航模式當時的位置，盤旋至切出返航模式或油量/電量耗盡。,在切入返航模式當時的位置往東5 km，盤旋至切出返航模式或油量/電量耗盡。,在切入返航模式當時的位置往北5 km，盤旋至切出返航模式或油量/電量耗盡。,0
無人機飛行控制器系統，其上傳鏈路（遙控訊號）之失效保護（Fail Safe）預設值，其觸發動作下列何者為非?,自主飛行。,自動返航。,原地降落。,原地盤旋或懸停。,0
無人飛機在視距外發生「上傳鏈路失效」，若無法恢復控制鏈路或航機接收端異常，其失效保護機制（Fail Safe）將觸發下列何者?,自主飛行。,自動拉高。,自動降落。,自動返航。,3
無人飛機在視距外發生「上傳鏈路失效」，緊急處置程序之一為下列何者?,關閉無人機上不必要之電力裝置。,分析上傳鏈路失效原因為干擾/遮蔽、地面導控站（發射端）異常、或航機（接收端）異常。,開啟自動避障系統。,飄降回本場。,1
無人飛機在視距外發生「上傳鏈路失效」，若失效原因為干擾/遮蔽，則等待無人飛機脫離干擾/遮蔽位置後應採取下列何種動作?,檢查確認導控站硬體接線、更換模組、或重新開機。,應立即以地圖介面或酬載影像檢視週遭遮蔽物及干擾源，待航機恢復控制後應立即轉向或爬升脫離。,若干擾/遮蔽狀況持續，應立即切換自動導航模式，繼續飛行。,關閉無人機上不必要之電力裝置。,1
無人飛機在視距外發生「上傳鏈路失效」，若失效原因為導控站（亦即上傳發射端）異常，則應採取下列何種動作?,檢查確認導控站硬體接線、更換模組、或重新開機，嘗試恢復控制後飛回本場。,關閉無人飛機上不必要之電力裝置。,在歸航點盤旋至油量/電量耗盡。,開啟自動避障系統。,0
無人直昇機與多旋翼機在視距外發生「上傳鏈路失效」，若失效原因為干擾/遮蔽，則等待無人飛機脫離干擾/遮蔽位置後應採取下列何種動作?,檢查確認導控站硬體接線、更換模組、或重新開機。,應立即以地圖介面或酬載影像檢視週遭遮蔽物及干擾源，待航機恢復控制後應立即轉向或升高脫離。,若干擾/遮蔽狀況持續，應立即切換自動導航模式，繼續飛行。,關閉無人機上不必要之電力裝置。,1
無人飛機在視距外發生「上傳鏈路失效」，若失效原因為航機（亦即上傳接收端）異常，則應採取下列何種動作?,關閉無人飛機上不必要之電力裝置。,無人飛機將在歸航點盤旋至油量/電量耗盡。,檢查確認導控站硬體接線、更換模組、或重新開機。,可利用地圖介面、即時飛航資訊及酬載影像，全程監控航機是否正確返回歸航點盤旋或降落。,3
無人飛機在視距內發生「上傳鏈路失效」，若失效原因為干擾/遮蔽，則等待無人飛機脫離干擾/遮蔽位置後應採取下列何種動作?,檢查確認導控站硬體接線、更換模組、或重新開機。,以肉眼檢視週遭潛在遮蔽物及干擾源，待航機恢復控制後應立即轉向或爬升脫離。,關閉無人飛機上不必要之電力裝置。,切換至適當之操作模式，儘速以穩定之滾轉角、俯仰角等飛行姿態落地。,1
無人飛機在視距外發生「下傳鏈路失效」，緊急處置程序之一為下列何者?,關閉無人飛機上不必要之電力裝置。,調整俯仰姿態以飄降飛回本場。,參考航機飛行軌跡及斷訊前回傳之飛航資訊與酬載影像，儘速執行轉向或爬升操作以脫離干擾/遮蔽區域。,開啟自動避障系統。,2
無人飛機在視距外發生「下傳鏈路失效」，緊急處置程序之一為下列何者?,參考航機飛行軌跡及斷訊前回傳之飛航資訊與酬載影像，儘速執行第一人稱操作以脫離干擾/遮蔽區域。,參考航機飛行軌跡及斷訊前回傳之飛航資訊與酬載影像，儘速執行推桿操作以建立安全空速。,參考航機飛行軌跡及斷訊前回傳之飛航資訊與酬載影像，儘速執行轉向或爬升操作以脫離干擾/遮蔽區域。,參考航機飛行軌跡及斷訊前回傳之飛航資訊與酬載影像，儘速執行轉向或爬升操作以接近干擾/遮蔽區域。,2
無人飛機在視距外發生「下傳鏈路失效」，若失效原因為干擾/遮蔽，則等待無人飛機脫離干擾/遮蔽位置後應採取下列何種動作?,應立即切換至適當之操作模式或啟動返航模式。,開啟自動避障系統。,關閉無人機上不必要之電力裝置。,調整俯仰姿態以飄降飛回本場。,0
無人飛機在視距外發生「下傳鏈路失效」，若失效原因為無人飛機發射端異常，則應採取下列何種動作?,檢查確認導控站硬體接線、更換模組、或重新開機。,應立即採取減災飛行決策，嘗試恢復鏈路通訊後以第一人稱方式，儘速控制航機以穩定姿態返場降落。,切換至姿態操作模式，儘速參考酬載影像以第一人稱方式將航機飛回本場。,關閉無人飛機上不必要之電力裝置。,1
無人飛機在視距外發生「下傳鏈路失效」，若失效原因為地面導控站接收端異常，則應採取下列何種動作?,應立即檢診其電源、天線及硬體線路接頭，必要時可更換模組或重新開機以嘗試恢復鏈路通訊。,應立即採取減災飛行決策，嘗試恢復鏈路通訊後以第一人稱方式，儘速控制航機以穩定姿態返場降落。,切換至姿態操作模式，儘速參考酬載影像以第一人稱方式將航機飛回本場。,關閉無人飛機上不必要之電力裝置。,0
無人飛機在視距內發生「下傳鏈路失效」，緊急處置程序之一為下列何者?,檢查確認導控站硬體接線、更換模組、或重新開機。,應立即切換至適當之操作模式或啟動返航模式，並全程使用第一人稱操作，儘速控制航機以穩定姿態返場降落。,關閉無人飛機上不必要之電力裝置。,應立即切換至適當之操作模式或啟動返航模式，並全程與航機 保持目視，儘速控制航機以穩定姿態返場降落。,3
無人飛機在視距外發生「下傳鏈路失效」，若超過該機合理滯空時間一直未見航機歸航或飛回本場，代表可能發生下列何種狀況?,可能已在其他適當地點安全降落。,可能仍在發生「下傳鏈路失效」當時的位置盤旋。,可能已在下傳斷訊時失事或返航途中失事。,以上皆非。,2
無人飛機在視距外發生「衛星定位訊號異常」，緊急處置程序為下列何者?,立即切換至適當之操作模式以停止衛星定位功能介入航機之控制，並由操作人以第一人稱方式接手操作。,調整俯仰姿態以飄降飛回本場。,關閉無人飛機上不必要之電力裝置。,檢查確認導控站硬體接線、更換模組、或重新開機。,0
無人飛機在視距內發生「衛星定位訊號異常」，緊急處置程序為下列何者?,儘速操控航機轉向或爬升脫離高樓周圍、橋梁下、峽谷內、密林中及輸電線路周邊等環境，並以目視方式控制航機返場降落。,調整俯仰姿態以飄降飛回本場。,關閉無人飛機上不必要之電力裝置。,檢查確認導控站硬體接線、更換模組、或重新開機。,0
無人直昇機與多旋翼機在視距外發生「衛星定位訊號異常」，緊急處置程序為下列何者?,儘速操控航機轉向或上升脫離高樓周圍、橋梁下、峽谷內、密林中及輸電線路周邊等環境，待衛星訊號恢復後繼續飛行。,調整俯仰姿態以飄降飛回本場。,關閉無人飛機上不必要之電力裝置。,檢查確認導控站硬體接線、更換模組、或重新開機。,0
無人直昇機與多旋翼機在視距外發生「衛星定位訊號異常」，緊急處置程序為下列何者為非?,儘速操控航機轉向或上升脫離高樓周圍、橋梁下、峽谷內、密林中及輸電線路周邊等環境，待衛星訊號恢復後繼續飛行。,操作人參考即時飛航資訊、地圖介面及酬載影像以第一人稱方式接手操作。,立即切換至適當之操作模式以停止衛星定位功能介入航機之控制。,若異常狀況持續無法改正，應儘速以目視方式控制航機返場降落。,3
無人直昇機與多旋翼機在視距內發生「衛星定位訊號異常」，緊急處置程序為下列何者?,立即切換至適當之操作模式以停止衛星定位功能介入航機之控制，並由操作人以目視方式接手操作。,調整俯仰姿態以飄降飛回本場。,關閉無人飛機上不必要之電力裝置。,檢查確認導控站硬體接線、更換模組、或重新開機。,0
無人飛機在視距內發生「姿態儀異常」，緊急處置程序之一為下列何者?,檢查確認導控站硬體接線、更換模組、或重新開機。,切換至適當之操作模式，由操作人目視航機接手操作，穩定飛行姿態後儘速控制航機返場降落。,關閉無人飛機上不必要之電力裝置。,人為切入返航模式。,1
無人飛機在視距外發生「姿態儀異常」，緊急處置程序之一為下列何者?,若操作人之技能不足以第一人稱方式手動控制航機，應立即採取減災飛行決策，參考姿態儀及時資訊操控航機落地。,若操作人之技能不足以第一人稱方式手動控制航機，應立即採取減災飛行決策，參考酬載影像、即時飛航資訊及地圖介面嘗試將航機飛至人群上空。,若操作人之技能不足以第一人稱方式手動控制航機，應立即採取減災飛行決策，參考酬載影像、即時飛航資訊及地圖介面嘗試將航機飛至安全區域，並儘速實施異地迫降處置。,若操作人之技能不足以第一人稱方式手動控制航機，應立即切換至返航模式，參考酬載影像及地圖介面嘗試將航機飛至安全區域迫降。,2
無人直昇機與多旋翼機在視距內發生「姿態儀異常」，緊急處置程序之一為下列何者?,立即切換至適當之操作模式以停止慣性導航儀介入航機之控制。,切換至適當之操作模式，參考酬載影像以第一人稱方式將無人機飛回本場。,立即由操作人目視航機接手操作，建立安全高度後儘速控制航機返場降落。,立即由操作人目視航機接手操作，穩定姿態或原處懸停後儘速控制航機返場降落。,3
無人直昇機與多旋翼機在視距外發生「姿態儀異常」，緊急處置程序之一為下列何者?,參考酬載影像穩定姿態或原處懸停後操控航機與地形地障保持安全隔離。,立即切換至姿態模式，儘速以穩定之滾轉角、俯仰角穩定將航機飛回本場。,立即切換至姿態模式由操作人接手操作，將航機原處盤旋。,立即切換至適當之操作模式以停止慣性導航儀介入航機之控制。,0
無人直昇機與多旋翼機在視距外發生「姿態儀異常」，緊急處置程序之一為下列何者?,檢查確認導控站硬體接線、更換模組、或重新開機。,切換至姿態操作模式，儘速參考酬載影像以第一人稱方式將航機飛回本場。,立即切換至適當之操作模式以停止姿態儀介入航機之控制，並由操作人接手操作。,人為切入返航模式。,2
無人飛機在視距外發生「空速管失效」，緊急處置程序為下列何者?,人為切入返航模式。,關閉無人機上不必要之電力裝置。,檢查確認導控站硬體接線、更換模組、或重新開機。,改以導航系統（如衛星定位及慣性導航等）測得之速度及高度參數作為操作之準據。,3
無人飛機在視距內發生「操縱面致動器/伺服舵機(Servo)失效」，若為單邊控制面（方向舵、副翼、升降舵）失效航機尚存部分可控性，緊急處置程序為下列何者?,立即調整地面導控站位置。,立即切換至姿態模式。,改以導航系統（如衛星定位及慣性導航等）測得之速度及高度參數作為操作之準據。,嘗試利用正常操縱面及差異推力控制（Differential thrust/power）進行配平補償操作以改正航機姿態。,3
無人飛機在視距外發生「翼面致動器失效」，若為單邊控制面（方向舵、副翼、升降舵）失效航機尚存部分可控性，緊急處置程序為下列何者?,立即以第一人稱方式接手操作，嘗試利用正常操縱面及推力控制進行配平補償操作以改正航機姿態。,開啟自動避障系統。,人為切入返航模式。,切換至適當之操作模式，儘速穩定飛行姿態將航機以目視方式飛回本場。,0
無人飛機在視距外發生「翼面致動器失效」，若為雙邊控制面（方向舵、副翼、升降舵）失效航機已完全喪失可控性，緊急處置程序為下列何者?,啟動自動返航模式。,開啟自動避障系統。,應立即記錄最終定位座標，在人員安全前題下儘速前往可能之墜落地點查看，以確認未引起火災等其他災害。,切換至適當之操作模式，儘速穩定飛行姿態將航機以目視方式飛回本場。,2
無人飛機在視距外發生「空中失速(Stall)」，緊急處置程序為下列何者?,以目視方式操作航機飛至安全區域迫降。,調整俯仰姿態以飄降飛回本場。,切換至適當之操作模式，儘速以穩定之滾轉角、俯仰角等飛行姿態降低無人機飛行攻角，建立安全高度。,立即切換至適當之操作模式由操作人以第一人稱方式接手操作，推桿控制航機姿態降低飛行攻角以建立安全空速。,3
無人飛機在視距內發生「空中失速(Stall)」，緊急處置程序為下列何者?,以第一人稱方式操作航機飛至安全區域迫降。,立即切換至適當之操作模式由操作人目視航機接手操作，推桿控制航機姿態降低飛行攻角以建立安全空速。,切換至適當之操作模式，儘速以穩定之滾轉角、俯仰角等飛行姿態降低無人機飛行攻角，建立安全高度。,調整俯仰姿態以飄降飛回本場。,1
無人飛機在視距外發生「低油量/電量」，緊急處置程序為下列何者?,切入任務模式，儘速以穩定之滾轉角、俯仰角等飛行姿態將航機飛回本場。,立即關閉航機除酬載影像外之非必要酬載設備以減緩油量/電量之消耗。,立即加大動力以全速飛回本場。,立即關閉航機酬載影像等非必要酬載設備，以減緩油量/電量之消耗。,1
無人直昇機與多旋翼機在視距外發生「低油量/電量」，緊急處置程序為下列何者?,開啟自動避障系統。,立即以第一人稱方式保持全速飛行，儘速安全返場降落。,調整俯仰姿態以飄降飛回本場。,參考姿態儀及酬載影像將航機飛至安全區域迫降。,3
無人直昇機與多旋翼機在視距外發生「低油量/電量」，緊急處置程序下列何者為非?,立即關閉航機除酬載影像外之非必要酬載設備以減緩油量/電量之消耗。,減緩油量/電量之消耗，以維持飛控電腦及伺服舵機等必要模組之運作。,減緩油量/電量之消耗，以維持廣播設備及投放伺服機等模組之運作。,立即以第一人稱方式保持勻速飛行，儘速安全返場降落。,2
「迫降航線處置」指的是下列何者?,自行判斷當下高度、距離及航線，安全返場降落。,開啟自動避障系統。,機動改變任務航線來繞越或避障。,參考酬載影像避障並迫降於安全處。,0
「異地迫降處置」指的是下列何者?,自行判斷當下高度、距離及航線，安全返場降落。,開啟自動避障系統。,機動改變任務航線來繞越或避障。,參考酬載影像避障並迫降於安全處。,3
「空中緊急避障處置」指的是下列何者?,自行判斷當下高度、距離及航線，安全返場降落。,開啟自動避障系統。,機動改變任務航線來繞越或避障。,參考酬載影像避障並迫降於安全處。,2
臺北近場臺範圍不包括下列何者?,連江縣。,宜蘭縣。,臺中市。,雲林縣。,3
高雄近場臺範圍不包括下列何者?,嘉義縣。,南投縣。,雲林縣。,金門縣。,1
臺北飛航情報區限航區名冊，RCR45、RCR46、RCR47（核三、核一、核二廠），涉及下列何者?,航道及航管安全。,情報及邊境安全。,輻射及廠房安全。,以上皆是。,2
臺北飛航情報區限航區名冊，東沙群島位於下列哪個飛航情報區內?,香港飛航情報區。,臺北飛航情報區。,馬尼拉飛航情報區。,廣州飛航情報區。,0
臺北飛航情報區限航區名冊，南沙群島位於下列哪個飛航情報區內?,香港飛航情報區。,臺北飛航情報區。,馬尼拉飛航情報區。,廣州飛航情報區。,2
遙控無人機實際作業地點在台中，要派員去下列哪個近場管制塔臺?,位在臺北的臺北近場管制塔臺。,位在桃園的臺北近場管制塔臺。,位在台南的高雄近場管制塔臺。,位在高雄的高雄近場管制塔臺。,1
遙控無人機實際作業地點在台東，要派員去下列哪個近場管制塔臺?,位在臺北的臺北近場管制塔臺。,位在桃園的臺北近場管制塔臺。,位在台南的高雄近場管制塔臺。,位在高雄的高雄近場管制塔臺。,3
若無人機作業範圍未在禁/限航區、未在民航局公告之航空站或飛行場四周一定距離範圍、且高度未逾距地面或水面400呎者，是否需派員至航管單位進行協調?,無需派員至航管單位進行協調。,仍需派員至航管單位進行協調。,由無人機操作人自行決定。,由航管單位依當時的航空交通流量來決定。,0
臺北近場臺及高雄近場臺均位於保安管制區，臨時進出之人員須取得下列哪個單位核准?,民航局。,國安局。,航空警察單位。,機場保全公司。,2
1個遙控無人機申請案以派遣幾位協調人員至航管單位為原則?,1位。,2位。,3位。,4位。,0
若在同日派1位協調人員負責多處遙控無人機之聯繫作業，應安排不同遙控無人機活動作業時間，以免發生下列何種狀況，而衍生飛安風險?,延誤放行升空時機。,壓縮作業時間。,未依航管指示落地。,以上皆是。,3
派遣至航管單位的協調人員，應熟知遙控無人機申請案的相關作業內容中不包括下列何者?,申請案之作業地點、範圍、實際作業高度。,機場周邊活動、其他航機飛行。,申請案號碼、飛航公告號碼。,作業時間、返回落地所需時間。,1
協調人員至航管單位時，應主動告知相關作業內容訊息予下列何人?,塔臺長。,航管班務督導。,管制員。,航詢員。,1
協調人員至航管單位執行協調聯繫作業時，手機應作下列何種設定?,手機應設定為響鈴模式。,手機應設定為飛航模式。,手機應設定為靜音或震動模式。,手機應暫時關機。,2
航管單位屬於保安管制區域，作業期間應遵守下列哪些事項?,禁止拍照、錄音、攝影等，但可隨意走動。,可以拍照、錄音、攝影等，但不得進入指定區域以外之場所。,可以拍照、錄音、攝影等，且可隨意走動。,禁止拍照、錄音、攝影等，且不得進入指定區域以外之場所。,3
空域協調使用作業期間以下列何者為優先?,軍、民航機。,遙控無人機。,輕航機。,滑翔機。,0
派遣至航管單位的協調人員，應確實按航管人員指示內容，即時聯絡下列何人配合辦理?,遙控無人機目視觀察員。,遙控無人機所有人。,遙控無人機操作人。,以上皆是。,2
遙控無人機飛航活動申請時，「作業概述」欄位應敘明下列哪些資訊?,作業高度、預期效益等資訊。,作業目的、預計起降地點等資訊。,作業溫度、氣壓及氣象預報等資訊。,作業所需航空知識、緊急處置程序等資訊。,1
遙控無人機飛航活動申請時，「作業概述」預計起降地點可輸入下列何者?,座標（如：經緯度）。,地標（如：台大實驗林）。,以上皆可。,以上皆非。,2
遙控無人機飛航安全相關事件之一，是指下列何者所規定之遙控無人機飛航事故?,民用航空法。,飛航規則。,危險物品空運管理辦法。,運輸事故調查法。,3
運輸事故調查法所規定之遙控無人機飛航事故，應向下列何者通報?,向民航局通報即可。,向運安會通報即可。,先向民航局通報，再看情形決定是否向運安會通報。,除向民航局通報外，亦應向運安會通報。,3
運輸事故調查法規定，運輸事故發生後，應於得知消息後多少時間內通報運安會?,2小時內。,12小時內。,24小時內。,48小時內。,0
運輸事故調查法規定，疑似運輸事故發生後，應於得知消息後多少時間內通報運安會?,12小時內。,24小時內。,2小時內。,48小時內。,1
運輸事故調查法規定，遙控無人機所有人或操作人，無正當理由未於期限內通報運安會事故或疑似事故者，處下列何種罰鍰?,新臺幣3萬元以上15萬元以下。,新臺幣6萬元以上30萬元以下。,新臺幣30萬元以上150萬元以下。,新臺幣1萬元以上150萬元以下。,1
運輸事故調查法所規定之遙控無人機飛航事故明訂於下列何者?,民用航空法。,飛航規則。,遙控無人機重大飛航事故調查作業處理規則。,危險物品空運管理辦法。,2
「遙控無人機重大飛航事故調查作業處理規則」規定，遙控無人機重大飛航事故發生後，下列何者應儘速通報已知事故狀況?,遙控無人機所有人。,遙控無人機操作人。,政府相關機關（構）。,以上皆是。,3
「遙控無人機重大飛航事故調查作業處理規則」規定，遙控無人機重大飛航事故發生後，應儘速將已知事故狀況通報運安會之下列何者?,值日官。,主任調查官。,執行長。,專案調查小組。,0
「遙控無人機重大飛航事故調查作業處理規則」規定，下列何者為應通報之事故?,人員死亡或傷害。,人員生病或情緒不佳。,人員睡眠不足或喝酒過量。,人員注意力不集中。,0
「遙控無人機重大飛航事故調查作業處理規則」規定，「死亡」指該人直接觸及遙控無人機之任何部位，包括自機體分離之部分，而有下列哪種情形者?,當場死亡。,4小時之內死亡。,8小時之內死亡。,12小時之內死亡。,0
